dataset,method,predicted,predicted*2,predicted/2,ground_truth,ad,ad*2,ad/2,min_ad,top_ad
Lightning2,SuSS,34,68,17.0,19.98599999999999,14.01400000000001,48.01400000000001,2.98599999999999,2.98599999999999,14.01400000000001
Lightning7,SuSS,96,192,48.0,159.00599999999986,63.00599999999986,32.99400000000014,111.00599999999986,32.99400000000014,63.00599999999986
Mallat,SuSS,38,76,19.0,128.00099999999998,90.00099999999998,52.000999999999976,109.00099999999998,52.000999999999976,90.00099999999998
Meat,SuSS,44,88,22.0,56.0,12.0,32.0,34.0,12.0,12.0
MedicalImages,SuSS,52,104,26.0,49.01599999999985,2.984000000000151,54.98400000000015,23.01599999999985,2.984000000000151,2.984000000000151
MelbournePedestrian,SuSS,20,40,10.0,12.000999999999747,7.999000000000253,27.99900000000025,2.000999999999747,2.000999999999747,7.999000000000253
MiddlePhalanxOutlineAgeGroup,SuSS,28,56,14.0,40.0,12.0,16.0,26.0,12.0,12.0
MiddlePhalanxOutlineCorrect,SuSS,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
MiddlePhalanxTW,SuSS,38,76,19.0,80.0010000000002,42.001000000000204,4.001000000000204,61.001000000000204,4.001000000000204,42.001000000000204
MoteStrain,SuSS,78,156,39.0,85.18099999999998,7.180999999999983,70.81900000000002,46.18099999999998,7.180999999999983,7.180999999999983
NonInvasiveFetalECGThorax1,SuSS,44,88,22.0,47.0,3.0,41.0,25.0,3.0,3.0
NonInvasiveFetalECGThorax2,SuSS,40,80,20.0,47.0,7.0,33.0,27.0,7.0,7.0
OSULeaf,SuSS,26,52,13.0,56.0,30.0,4.0,43.0,4.0,30.0
OliveOil,SuSS,70,140,35.0,285.00049999999965,215.00049999999965,145.00049999999965,250.00049999999965,145.00049999999965,215.00049999999965
Plane,SuSS,26,52,13.0,36.0,10.0,16.0,23.0,10.0,10.0
ProximalPhalanxOutlineAgeGroup,SuSS,20,40,10.0,10.0,10.0,30.0,0.0,0.0,10.0
ProximalPhalanxOutlineCorrect,SuSS,20,40,10.0,10.0,10.0,30.0,0.0,0.0,10.0
ProximalPhalanxTW,SuSS,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
ShapeletSim,SuSS,22,44,11.0,33.0,11.0,11.0,22.0,11.0,11.0
ShapesAll,SuSS,58,116,29.0,127.00700000000006,69.00700000000006,11.007000000000062,98.00700000000006,11.007000000000062,69.00700000000006
SonyAIBORobotSurface1,SuSS,42,84,21.0,37.99899999999991,4.00100000000009,46.00100000000009,16.99899999999991,4.00100000000009,4.00100000000009
SonyAIBORobotSurface2,SuSS,48,96,24.0,63.756500000000074,15.756500000000074,32.243499999999926,39.756500000000074,15.756500000000074,15.756500000000074
Strawberry,SuSS,22,44,11.0,14.996999999999986,7.003000000000014,29.003000000000014,3.9969999999999857,3.9969999999999857,7.003000000000014
SwedishLeaf,SuSS,30,60,15.0,32.0,2.0,28.0,17.0,2.0,2.0
Symbols,SuSS,60,120,30.0,100.00149999999996,40.001499999999965,19.998500000000035,70.00149999999996,19.998500000000035,40.001499999999965
SyntheticControl,SuSS,24,48,12.0,15.000999999999976,8.999000000000024,32.999000000000024,3.0009999999999764,3.0009999999999764,8.999000000000024
ToeSegmentation1,SuSS,40,80,20.0,76.0,36.0,4.0,56.0,4.0,36.0
ToeSegmentation2,SuSS,48,96,24.0,35.00200000000001,12.99799999999999,60.99799999999999,11.00200000000001,11.00200000000001,12.99799999999999
Trace,SuSS,50,100,25.0,69.0,19.0,31.0,44.0,19.0,19.0
TwoLeadECG,SuSS,26,52,13.0,20.742500000000007,5.257499999999993,31.257499999999993,7.742500000000007,5.257499999999993,5.257499999999993
UMD,SuSS,74,148,37.0,149.49200000000002,75.49200000000002,1.4920000000000186,112.49200000000002,1.4920000000000186,75.49200000000002
UWaveGestureLibraryAll,SuSS,20,40,10.0,20.998999999999796,0.9989999999997963,19.001000000000204,10.998999999999796,0.9989999999997963,0.9989999999997963
UWaveGestureLibraryX,SuSS,20,40,10.0,10.99899999999991,9.00100000000009,29.00100000000009,0.99899999999991,0.99899999999991,9.00100000000009
UWaveGestureLibraryY,SuSS,20,40,10.0,10.0,10.0,30.0,0.0,0.0,10.0
UWaveGestureLibraryZ,SuSS,20,40,10.0,15.0,5.0,25.0,5.0,5.0,5.0
WordSynonyms,SuSS,40,80,20.0,33.998999999999995,6.001000000000005,46.001000000000005,13.998999999999995,6.001000000000005,6.001000000000005
Yoga,SuSS,34,68,17.0,64.76299999999992,30.76299999999992,3.23700000000008,47.76299999999992,3.23700000000008,30.76299999999992
Adiac,MWF,22,44,11.0,22.02099999999996,0.020999999999961716,21.97900000000004,11.020999999999962,0.020999999999961716,0.020999999999961716
ArrowHead,MWF,32,64,16.0,62.833999999999946,30.833999999999946,1.1660000000000537,46.833999999999946,1.1660000000000537,30.833999999999946
Beef,MWF,117,234,58.5,117.019,0.019000000000005457,116.981,58.519000000000005,0.019000000000005457,0.019000000000005457
BirdChicken,MWF,69,138,34.5,129.56650000000008,60.566500000000076,8.433499999999924,95.06650000000008,8.433499999999924,60.566500000000076
CBF,MWF,9,18,4.5,31.999999999999982,22.999999999999982,13.999999999999982,27.499999999999982,13.999999999999982,22.999999999999982
Car,MWF,18,36,9.0,36.00199999999995,18.001999999999953,0.0019999999999527063,27.001999999999953,0.0019999999999527063,18.001999999999953
Chinatown,MWF,8,16,4.0,24.002999999999982,16.002999999999982,8.002999999999982,20.002999999999982,8.002999999999982,16.002999999999982
ChlorineConcentration,MWF,20,40,10.0,83.0,63.0,43.0,73.0,43.0,63.0
CinCECGTorso,MWF,269,538,134.5,205.0,64.0,333.0,70.5,64.0,64.0
Coffee,MWF,9,18,4.5,36.0,27.0,18.0,31.5,18.0,27.0
CricketX,MWF,19,38,9.5,21.0,2.0,17.0,11.5,2.0,2.0
CricketY,MWF,19,38,9.5,19.0,0.0,19.0,9.5,0.0,0.0
CricketZ,MWF,19,38,9.5,37.00049999999999,18.000499999999988,0.9995000000000118,27.500499999999988,0.9995000000000118,18.000499999999988
Crop,MWF,23,46,11.5,23.01600000000053,0.016000000000531145,22.98399999999947,11.516000000000531,0.016000000000531145,0.016000000000531145
DiatomSizeReduction,MWF,43,86,21.5,43.0,0.0,43.0,21.5,0.0,0.0
DistalPhalanxOutlineAgeGroup,MWF,16,32,8.0,10.0,6.0,22.0,2.0,2.0,6.0
DistalPhalanxTW,MWF,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
DodgerLoopDay,MWF,288,576,144.0,288.928,0.9279999999999973,287.072,144.928,0.9279999999999973,0.9279999999999973
ECG200,MWF,24,48,12.0,24.000999999999976,0.0009999999999763531,23.999000000000024,12.000999999999976,0.0009999999999763531,0.0009999999999763531
ECGFiveDays,MWF,8,16,4.0,34.0,26.0,18.0,30.0,18.0,26.0
EOGHorizontalSignal,MWF,78,156,39.0,78.00900000000001,0.009000000000014552,77.99099999999999,39.009000000000015,0.009000000000014552,0.009000000000014552
EOGVerticalSignal,MWF,78,156,39.0,78.0005000000001,0.0005000000001018634,77.9994999999999,39.0005000000001,0.0005000000001018634,0.0005000000001018634
FaceAll,MWF,22,44,11.0,33.0,11.0,11.0,22.0,11.0,11.0
FaceFour,MWF,85,170,42.5,350.00549999999976,265.00549999999976,180.00549999999976,307.50549999999976,180.00549999999976,265.00549999999976
FacesUCR,MWF,44,88,22.0,65.0,21.0,23.0,43.0,21.0,21.0
FiftyWords,MWF,33,66,16.5,33.99800000000005,0.9980000000000473,32.00199999999995,17.498000000000047,0.9980000000000473,0.9980000000000473
Fish,MWF,29,58,14.5,57.99799999999959,28.997999999999593,0.0020000000004074536,43.49799999999959,0.0020000000004074536,28.997999999999593
FreezerRegularTrain,MWF,75,150,37.5,75.0034999999998,0.003499999999803549,74.9965000000002,37.5034999999998,0.003499999999803549,0.003499999999803549
GunPoint,MWF,37,74,18.5,37.50749999999999,0.5074999999999932,36.49250000000001,19.007499999999993,0.5074999999999932,0.5074999999999932
Ham,MWF,107,214,53.5,107.99699999999984,0.9969999999998436,106.00300000000016,54.496999999999844,0.9969999999998436,0.9969999999998436
Haptics,MWF,68,136,34.0,68.00200000000041,0.0020000000004074536,67.99799999999959,34.00200000000041,0.0020000000004074536,0.0020000000004074536
Herring,MWF,64,128,32.0,128.00500000000005,64.00500000000005,0.005000000000052296,96.00500000000005,0.005000000000052296,64.00500000000005
InlineSkate,MWF,118,236,59.0,114.03599999999985,3.964000000000155,121.96400000000015,55.035999999999845,3.964000000000155,3.964000000000155
InsectWingbeatSound,MWF,12,24,6.0,15.519499999999994,3.5194999999999936,8.480500000000006,9.519499999999994,3.5194999999999936,3.5194999999999936
ItalyPowerDemand,MWF,24,48,12.0,23.99700000000007,0.0029999999999290594,24.00299999999993,11.997000000000071,0.0029999999999290594,0.0029999999999290594
LargeKitchenAppliances,MWF,22,44,11.0,28.45149999999967,6.451499999999669,15.548500000000331,17.45149999999967,6.451499999999669,6.451499999999669
Lightning2,MWF,20,40,10.0,19.98599999999999,0.014000000000010004,20.01400000000001,9.98599999999999,0.014000000000010004,0.014000000000010004
Lightning7,MWF,160,320,80.0,159.00599999999986,0.9940000000001419,160.99400000000014,79.00599999999986,0.9940000000001419,0.9940000000001419
Mallat,MWF,89,178,44.5,128.00099999999998,39.000999999999976,49.999000000000024,83.50099999999998,39.000999999999976,39.000999999999976
Meat,MWF,56,112,28.0,56.0,0.0,56.0,28.0,0.0,0.0
MedicalImages,MWF,49,98,24.5,49.01599999999985,0.015999999999849024,48.98400000000015,24.51599999999985,0.015999999999849024,0.015999999999849024
MelbournePedestrian,MWF,12,24,6.0,12.000999999999747,0.000999999999747203,11.999000000000253,6.000999999999747,0.000999999999747203,0.000999999999747203
MiddlePhalanxOutlineAgeGroup,MWF,40,80,20.0,40.0,0.0,40.0,20.0,0.0,0.0
MiddlePhalanxOutlineCorrect,MWF,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
MiddlePhalanxTW,MWF,74,148,37.0,80.0010000000002,6.001000000000204,67.9989999999998,43.001000000000204,6.001000000000204,6.001000000000204
MoteStrain,MWF,83,166,41.5,85.18099999999998,2.180999999999983,80.81900000000002,43.68099999999998,2.180999999999983,2.180999999999983
NonInvasiveFetalECGThorax1,MWF,47,94,23.5,47.0,0.0,47.0,23.5,0.0,0.0
NonInvasiveFetalECGThorax2,MWF,47,94,23.5,47.0,0.0,47.0,23.5,0.0,0.0
OSULeaf,MWF,41,82,20.5,56.0,15.0,26.0,35.5,15.0,15.0
OliveOil,MWF,270,540,135.0,285.00049999999965,15.000499999999647,254.99950000000035,150.00049999999965,15.000499999999647,15.000499999999647
Plane,MWF,18,36,9.0,36.0,18.0,0.0,27.0,0.0,18.0
ProximalPhalanxOutlineAgeGroup,MWF,16,32,8.0,10.0,6.0,22.0,2.0,2.0,6.0
ProximalPhalanxOutlineCorrect,MWF,16,32,8.0,10.0,6.0,22.0,2.0,2.0,6.0
ProximalPhalanxTW,MWF,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
ShapeletSim,MWF,194,388,97.0,33.0,161.0,355.0,64.0,64.0,161.0
ShapesAll,MWF,69,138,34.5,127.00700000000006,58.00700000000006,10.992999999999938,92.50700000000006,10.992999999999938,58.00700000000006
SonyAIBORobotSurface1,MWF,36,72,18.0,37.99899999999991,1.99899999999991,34.00100000000009,19.99899999999991,1.99899999999991,1.99899999999991
SonyAIBORobotSurface2,MWF,31,62,15.5,63.756500000000074,32.756500000000074,1.7565000000000737,48.256500000000074,1.7565000000000737,32.756500000000074
Strawberry,MWF,14,28,7.0,14.996999999999986,0.9969999999999857,13.003000000000014,7.996999999999986,0.9969999999999857,0.9969999999999857
SwedishLeaf,MWF,16,32,8.0,32.0,16.0,0.0,24.0,0.0,16.0
Symbols,MWF,99,198,49.5,100.00149999999996,1.0014999999999645,97.99850000000004,50.501499999999965,1.0014999999999645,1.0014999999999645
SyntheticControl,MWF,15,30,7.5,15.000999999999976,0.0009999999999763531,14.999000000000024,7.500999999999976,0.0009999999999763531,0.0009999999999763531
ToeSegmentation1,MWF,82,164,41.0,76.0,6.0,88.0,35.0,6.0,6.0
ToeSegmentation2,MWF,36,72,18.0,35.00200000000001,0.9979999999999905,36.99799999999999,17.00200000000001,0.9979999999999905,0.9979999999999905
Trace,MWF,68,136,34.0,69.0,1.0,67.0,35.0,1.0,1.0
TwoLeadECG,MWF,9,18,4.5,20.742500000000007,11.742500000000007,2.742500000000007,16.242500000000007,2.742500000000007,11.742500000000007
UMD,MWF,143,286,71.5,149.49200000000002,6.492000000000019,136.50799999999998,77.99200000000002,6.492000000000019,6.492000000000019
UWaveGestureLibraryAll,MWF,11,22,5.5,20.998999999999796,9.998999999999796,1.0010000000002037,15.498999999999796,1.0010000000002037,9.998999999999796
UWaveGestureLibraryX,MWF,11,22,5.5,10.99899999999991,0.00100000000009004,11.00100000000009,5.49899999999991,0.00100000000009004,0.00100000000009004
UWaveGestureLibraryY,MWF,11,22,5.5,10.0,1.0,12.0,4.5,1.0,1.0
UWaveGestureLibraryZ,MWF,11,22,5.5,15.0,4.0,7.0,9.5,4.0,4.0
WordSynonyms,MWF,33,66,16.5,33.998999999999995,0.9989999999999952,32.001000000000005,17.498999999999995,0.9989999999999952,0.9989999999999952
Yoga,MWF,43,86,21.5,64.76299999999992,21.76299999999992,21.23700000000008,43.26299999999992,21.23700000000008,21.76299999999992
Adiac,Autoperiod,22,44,11.0,22.02099999999996,0.020999999999961716,21.97900000000004,11.020999999999962,0.020999999999961716,0.020999999999961716
ArrowHead,Autoperiod,32,64,16.0,62.833999999999946,30.833999999999946,1.1660000000000537,46.833999999999946,1.1660000000000537,30.833999999999946
Beef,Autoperiod,61,122,30.5,117.019,56.019000000000005,4.9809999999999945,86.519,4.9809999999999945,56.019000000000005
BirdChicken,Autoperiod,44,88,22.0,129.56650000000008,85.56650000000008,41.566500000000076,107.56650000000008,41.566500000000076,85.56650000000008
CBF,Autoperiod,32,64,16.0,31.999999999999982,1.7763568394002505e-14,32.000000000000014,15.999999999999982,1.7763568394002505e-14,1.7763568394002505e-14
Car,Autoperiod,18,36,9.0,36.00199999999995,18.001999999999953,0.0019999999999527063,27.001999999999953,0.0019999999999527063,18.001999999999953
Chinatown,Autoperiod,24,48,12.0,24.002999999999982,0.00299999999998235,23.997000000000018,12.002999999999982,0.00299999999998235,0.00299999999998235
ChlorineConcentration,Autoperiod,21,42,10.5,83.0,62.0,41.0,72.5,41.0,62.0
CinCECGTorso,Autoperiod,235,470,117.5,205.0,30.0,265.0,87.5,30.0,30.0
Coffee,Autoperiod,36,72,18.0,36.0,0.0,36.0,18.0,0.0,0.0
CricketX,Autoperiod,19,38,9.5,21.0,2.0,17.0,11.5,2.0,2.0
CricketY,Autoperiod,19,38,9.5,19.0,0.0,19.0,9.5,0.0,0.0
CricketZ,Autoperiod,19,38,9.5,37.00049999999999,18.000499999999988,0.9995000000000118,27.500499999999988,0.9995000000000118,18.000499999999988
Crop,Autoperiod,23,46,11.5,23.01600000000053,0.016000000000531145,22.98399999999947,11.516000000000531,0.016000000000531145,0.016000000000531145
DiatomSizeReduction,Autoperiod,43,86,21.5,43.0,0.0,43.0,21.5,0.0,0.0
DistalPhalanxOutlineAgeGroup,Autoperiod,10,20,5.0,10.0,0.0,10.0,5.0,0.0,0.0
DistalPhalanxTW,Autoperiod,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
DodgerLoopDay,Autoperiod,287,574,143.5,288.928,1.9279999999999973,285.072,145.428,1.9279999999999973,1.9279999999999973
ECG200,Autoperiod,24,48,12.0,24.000999999999976,0.0009999999999763531,23.999000000000024,12.000999999999976,0.0009999999999763531,0.0009999999999763531
ECGFiveDays,Autoperiod,16,32,8.0,34.0,18.0,2.0,26.0,2.0,18.0
EOGHorizontalSignal,Autoperiod,78,156,39.0,78.00900000000001,0.009000000000014552,77.99099999999999,39.009000000000015,0.009000000000014552,0.009000000000014552
EOGVerticalSignal,Autoperiod,78,156,39.0,78.0005000000001,0.0005000000001018634,77.9994999999999,39.0005000000001,0.0005000000001018634,0.0005000000001018634
FaceAll,Autoperiod,10,20,5.0,33.0,23.0,13.0,28.0,13.0,23.0
FaceFour,Autoperiod,46,92,23.0,350.00549999999976,304.00549999999976,258.00549999999976,327.00549999999976,258.00549999999976,304.00549999999976
FacesUCR,Autoperiod,10,20,5.0,65.0,55.0,45.0,60.0,45.0,55.0
FiftyWords,Autoperiod,34,68,17.0,33.99800000000005,0.0019999999999527063,34.00199999999995,16.998000000000047,0.0019999999999527063,0.0019999999999527063
Fish,Autoperiod,29,58,14.5,57.99799999999959,28.997999999999593,0.0020000000004074536,43.49799999999959,0.0020000000004074536,28.997999999999593
FreezerRegularTrain,Autoperiod,75,150,37.5,75.0034999999998,0.003499999999803549,74.9965000000002,37.5034999999998,0.003499999999803549,0.003499999999803549
GunPoint,Autoperiod,37,74,18.5,37.50749999999999,0.5074999999999932,36.49250000000001,19.007499999999993,0.5074999999999932,0.5074999999999932
Ham,Autoperiod,26,52,13.0,107.99699999999984,81.99699999999984,55.996999999999844,94.99699999999984,55.996999999999844,81.99699999999984
Haptics,Autoperiod,68,136,34.0,68.00200000000041,0.0020000000004074536,67.99799999999959,34.00200000000041,0.0020000000004074536,0.0020000000004074536
Herring,Autoperiod,64,128,32.0,128.00500000000005,64.00500000000005,0.005000000000052296,96.00500000000005,0.005000000000052296,64.00500000000005
InlineSkate,Autoperiod,117,234,58.5,114.03599999999985,2.964000000000155,119.96400000000015,55.535999999999845,2.964000000000155,2.964000000000155
InsectWingbeatSound,Autoperiod,16,32,8.0,15.519499999999994,0.48050000000000637,16.480500000000006,7.519499999999994,0.48050000000000637,0.48050000000000637
ItalyPowerDemand,Autoperiod,24,48,12.0,23.99700000000007,0.0029999999999290594,24.00299999999993,11.997000000000071,0.0029999999999290594,0.0029999999999290594
LargeKitchenAppliances,Autoperiod,23,46,11.5,28.45149999999967,5.451499999999669,17.54850000000033,16.95149999999967,5.451499999999669,5.451499999999669
Lightning2,Autoperiod,20,40,10.0,19.98599999999999,0.014000000000010004,20.01400000000001,9.98599999999999,0.014000000000010004,0.014000000000010004
Lightning7,Autoperiod,159,318,79.5,159.00599999999986,0.005999999999858119,158.99400000000014,79.50599999999986,0.005999999999858119,0.005999999999858119
Mallat,Autoperiod,41,82,20.5,128.00099999999998,87.00099999999998,46.000999999999976,107.50099999999998,46.000999999999976,87.00099999999998
Meat,Autoperiod,56,112,28.0,56.0,0.0,56.0,28.0,0.0,0.0
MedicalImages,Autoperiod,49,98,24.5,49.01599999999985,0.015999999999849024,48.98400000000015,24.51599999999985,0.015999999999849024,0.015999999999849024
MelbournePedestrian,Autoperiod,12,24,6.0,12.000999999999747,0.000999999999747203,11.999000000000253,6.000999999999747,0.000999999999747203,0.000999999999747203
MiddlePhalanxOutlineAgeGroup,Autoperiod,40,80,20.0,40.0,0.0,40.0,20.0,0.0,0.0
MiddlePhalanxOutlineCorrect,Autoperiod,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
